date,headline,ticker,source,neg,neu,pos,compound,sentiment_label
2026-02-22,Alphabet (GOOGL) Stock Overtakes Apple and Microsoft as America's Most Profitable Company - CoinCentral,AAPL,Google RSS,0.0,0.803,0.197,0.4927,positive
2026-02-17,"Apple Stock’s Pullback Over AI Concerns ‘Unwarranted’, Says Wedbush - Stocktwits",AAPL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-18,Apple’s $2.84 Earnings Beat Can’t Overcome Siri Delay Concerns - 24/7 Wall St.,AAPL,Google RSS,0.161,0.839,0.0,-0.3182,negative
2026-02-18,Wedbush’s Dan Ives Sticks to Apple Stock Street-High $350 PT – Calls Selloff ‘Unwarranted’ - TipRanks,AAPL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-19,Apple Stock Becomes an Outlier as Correlation with Nasdaq Falls to 0.21 - Meyka,AAPL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-16,"Apple Stock Is Interesting, but Here's What I'd Buy Instead - Nasdaq",AAPL,Google RSS,0.0,0.856,0.144,0.2144,positive
2026-02-21,Berkshire was a net seller of stocks in Buffett's final quarter as CEO - CNBC,AAPL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-21,Apple stock (AAPL) ends higher ahead of Monday as tariffs ruling lifts tech; iCloud lawsuit in focus - TechStock²,AAPL,Google RSS,0.095,0.905,0.0,-0.2263,negative
2026-02-19,"Meet the Brilliant Vanguard ETF With 45.3% of Its Portfolio Invested in Nvidia, Apple, Microsoft, and Alphabet - The Motley Fool",AAPL,Google RSS,0.113,0.739,0.148,0.2263,positive
2026-02-18,AAPL Stock Jumps 3% as “People see Apple as a Safe Haven” - TipRanks,AAPL,Google RSS,0.0,0.818,0.182,0.4404,positive
2026-02-17,What's Going On With Apple Stock Tuesday? - Benzinga,AAPL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-20,3 Artificial Intelligence Stocks You Can Buy and Hold for the Next Decade - The Motley Fool,AAPL,Google RSS,0.138,0.714,0.148,0.0516,neutral
2026-02-17,Why Apple stock is climbing despite ongoing AI jitters - TradingView,AAPL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-18,Apple’s Lack of Interest in AI Hype Is Suddenly Making It Attractive to Wall Street - Gizmodo,AAPL,Google RSS,0.104,0.631,0.266,0.5574,positive
2026-02-20,Institutional Holdings Update on Apple Stock - Intellectia AI,AAPL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-19,"Alphabet Vs. Apple: 2 'Differently Similar' Ways To Navigate AI, 1 Clearly Ahead - Seeking Alpha",AAPL,Google RSS,0.0,0.847,0.153,0.4019,positive
2026-02-18,AAPL Stock Today: February 18 – Apple AI Wearables Buzz Lifts Nasdaq - Meyka,AAPL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-20,"Soaring DRAM Prices Shake Hardware Stocks, but Apple and Arista Remain Bright Spots - TipRanks",AAPL,Google RSS,0.074,0.714,0.212,0.5423,positive
2026-02-20,"Apple (AAPL): Buy, Sell, or Hold Post Q4 Earnings? - Finviz",AAPL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-18,"In a vote of confidence for Apple stock, it is Berkshire Hathaway's biggest investment as Warren Buffett steps down as CEO",AAPL,Bing RSS,0.0,0.858,0.142,0.5106,positive
2026-02-17,Why Apple stock rose today,AAPL,Bing RSS,0.0,1.0,0.0,0.0,neutral
2026-02-18,Apple’s Lack of Interest in AI Hype Is Suddenly Making It Attractive to Wall Street,AAPL,Bing RSS,0.114,0.594,0.292,0.5574,positive
2026-02-17,Why Apple stock is climbing despite ongoing AI jitters,AAPL,Bing RSS,0.0,1.0,0.0,0.0,neutral
2026-02-17,What's Going On With Apple Stock Tuesday?,AAPL,Bing RSS,0.0,1.0,0.0,0.0,neutral
2026-02-20,Apple: Margin Pressure And Lack Of Innovation (Rating Downgrade),AAPL,Bing RSS,0.472,0.347,0.181,-0.4939,negative
2026-02-15,"Apple Stock Is Interesting, but Here's What I'd Buy Instead",AAPL,Bing RSS,0.0,0.829,0.171,0.2144,positive
2026-02-22,How Apple’s Lazy AI Strategy Could Crush the Competition,AAPL,Yahoo RSS,0.369,0.631,0.0,-0.4767,negative
2026-02-22,Cloud Storage Always Full? Follow These Three Steps to Clean It Up.,AAPL,Yahoo RSS,0.0,0.803,0.197,0.4019,positive
2026-02-22,Nvidia Wants to Be the Brain of Consumer PCs Once Again,AAPL,Yahoo RSS,0.0,1.0,0.0,0.0,neutral
2026-02-22,"The Cheapest ""Magnificent Seven"" Stock Is a Screaming Buy Right Now",AAPL,Yahoo RSS,0.168,0.581,0.252,0.3182,positive
2026-02-21,3 Brilliant Growth Stock ETFs to Buy Now and Hold for the Long Term,AAPL,Yahoo RSS,0.0,0.652,0.348,0.7506,positive
2026-02-21,"The Saturday Spread: Using Volatility Skew as a Smart Money Gauge (TGT, AAPL, ORCL)",AAPL,Yahoo RSS,0.0,0.828,0.172,0.4019,positive
2026-02-21,"Stock Market Week: Nvidia Earnings, Apple And Strategy Events",AAPL,Yahoo RSS,0.0,1.0,0.0,0.0,neutral
